Start	End	Weight
1	2	0.3950403940398246
1	3	0.7015053350478411
2	3	0.9263647301122546
1	4	0.3629574868828058
2	4	0.7858454016968608
1	5	0.6644057771191001
3	5	0.7161016759928316
1	6	0.48350424505770206
2	6	0.7669994875323027
2	7	0.40985792642459273
6	7	0.9080804781988263
6	8	0.4216075213626027
2	8	0.3327528303489089
6	9	0.11158964224159718
4	9	0.740796995582059
3	10	0.448822834296152
5	10	0.44140600273385644
2	11	0.9481209092773497
5	11	0.21221540705300868
4	12	0.07553047593683004
5	12	0.5378969758749008
9	13	0.6470958204008639
3	13	0.38191225938498974
1	14	0.22753221215680242
9	14	0.09397061541676521
11	15	0.1802712178323418
5	15	0.5914650792255998
12	16	0.026115935761481524
3	16	0.08981576352380216
5	17	0.24543708562850952
15	17	0.9044417182449251
1	18	0.9433123210910708
5	18	0.3660468563903123
10	19	0.19732459355145693
9	19	0.007414659485220909
15	20	0.8503801242914051
13	20	0.6243257662281394
5	21	0.7228530573192984
1	21	0.6293836617842317
19	22	0.9800810683518648
1	22	0.6929211509414017
12	23	0.7414861547295004
13	23	0.7012946887407452
8	24	0.45289800106547773
22	24	0.025099844904616475
16	25	0.747932045487687
20	25	0.1643041546922177
11	26	0.9143317053094506
8	26	0.7356592393480241
5	27	0.5382831213064492
26	27	0.4296745266765356
23	28	0.01499913795851171
3	28	0.7932527677621692
21	29	0.8308259700424969
4	29	0.4362263618968427
24	30	0.6533218768890947
5	30	0.3312022443860769
29	31	0.08660161425359547
12	31	0.015507908072322607
1	32	0.5931017801631242
6	32	0.03194951033219695
1	33	0.20993407629430294
12	33	0.4493411697912961
31	34	0.2934275437146425
2	34	0.7417374199721962
1	35	0.7348736652638763
6	35	0.4874991490505636
12	36	0.704326183302328
34	36	0.8524536720942706
26	37	0.7392487965989858
23	37	0.14522222243249416
6	38	0.7671189443208277
37	38	0.6612680817488581
1	39	0.10525231738574803
34	39	0.8005591814871877
13	40	0.6745281468611211
3	40	0.7445138418115675
5	41	0.2021236855071038
14	41	0.8421653539407998
2	42	0.5720776233356446
32	42	0.8212142416741699
31	43	0.6135615336243063
9	43	0.8995940943714231
6	44	0.6457091949414462
28	44	0.11741931410506368
4	45	0.566662382800132
22	45	0.1666774214245379
1	46	0.567194452509284
3	46	0.40954690147191286
9	47	0.7800938861910254
35	47	0.6338855852372944
40	48	0.90194654581137
33	48	0.021637557074427605
2	49	0.3636271795257926
38	49	0.04016932402737439
12	50	0.07288326369598508
9	50	0.2706483993679285
4	51	0.7141318251378834
3	51	0.45060109603218734
5	52	0.7228242985438555
42	52	0.897009682841599
50	53	0.2813704973086715
26	53	0.773477126378566
34	54	0.8193301509600133
1	54	0.40832673478871584
31	55	0.5723613717127591
32	55	0.255257754586637
13	56	0.44582678750157356
24	56	0.10817470867186785
28	57	0.111834169132635
1	57	0.34307352430187166
12	58	0.6005162999499589
32	58	0.11605398869141936
5	59	0.18789711641147733
46	59	0.6341449751053005
31	60	0.5284777779597789
29	60	0.7245492932852358
4	61	0.8371716325636953
15	61	0.09814256522804499
6	62	0.13055988890118897
34	62	0.05718440632335842
58	63	0.534581741085276
1	63	0.32743915542960167
6	64	0.8972467111889273
59	64	0.39137500268407166
36	65	0.9668221138417721
33	65	0.583910426357761
11	66	0.8283437245991081
5	66	0.72477294690907
38	67	0.541204635752365
13	67	0.8651794521138072
3	68	0.3632830467540771
60	68	0.680136966984719
33	69	0.07146204356104136
2	69	0.6169562181457877
2	70	0.21770393359474838
6	70	0.6104298655409366
28	71	0.024866358377039433
6	71	0.2790810805745423
15	72	0.4382632600609213
14	72	0.04402978322468698
36	73	0.23870419012382627
16	73	0.6577483464498073
26	74	0.9028282931540161
67	74	0.7356034906115383
19	75	0.5969552274327725
6	75	0.48539700265973806
12	76	0.0138998341280967
69	76	0.9137964472174644
6	77	0.11441282089799643
56	77	0.9147451559547335
12	78	0.536703284131363
76	78	0.4157911380752921
45	79	0.8729003828484565
6	79	0.41800488135777414
2	80	0.49208447709679604
12	80	0.0706245678011328
13	81	0.5058175998274237
60	81	0.6020999755710363
2	82	0.48288985434919596
15	82	0.9881453856360167
63	83	0.4923510951921344
15	83	0.11581586790271103
27	84	0.08936207764782012
64	84	0.40090658282861114
76	85	0.02997886249795556
6	85	0.9757358022034168
67	86	0.977614086586982
46	86	0.6819050868507475
6	87	0.5142062252853066
60	87	0.36842725123278797
33	88	0.7067640041932464
58	88	0.2022474834229797
35	89	0.06233980297110975
26	89	0.8744646883569658
15	90	0.9473908892832696
40	90	0.5297770604956895
78	91	0.8756761022377759
74	91	0.46762937237508595
23	92	0.4646329516544938
86	92	0.1117071823682636
10	93	0.4223324074409902
7	93	0.6576678005512804
58	94	0.429920342983678
1	94	0.593804199481383
1	95	0.8419236075133085
31	95	0.7912626171018928
86	96	0.018324830569326878
37	96	0.4923174276482314
2	97	0.6475043438840657
45	97	0.6173564388882369
3	98	0.0344270511996001
12	98	0.23914445308037102
36	99	0.6198357820976526
2	99	0.384891175897792
81	100	0.5596549860201776
34	100	0.6116710915230215
3	101	0.9758939715102315
7	101	1.0142289102077484e-4
99	102	0.27488923887722194
93	102	0.6817962962668389
94	103	0.5624581302981824
2	103	0.42607020563445985
62	104	0.4701321858447045
12	104	0.3279860077891499
16	105	0.5215123023372144
5	105	0.13880690280348063
59	106	0.3040897606406361
18	106	0.28871443029493093
6	107	0.19671925762668252
89	107	0.3701347913593054
93	108	0.3544471110217273
5	108	0.3805454773828387
5	109	0.7280935603193939
106	109	0.3128833444789052
13	110	0.6669904948212206
62	110	0.20910575310699642
32	111	0.6182917908299714
54	111	0.22494826675392687
2	112	0.43343638232909143
19	112	0.35658839833922684
74	113	0.11835433123633265
59	113	0.1443813662044704
48	114	0.8316823220811784
99	114	0.5294954990968108
62	115	0.9677772698923945
86	115	0.2505826447159052
1	116	0.9168708270881325
13	116	0.9936521514318883
