node_name	condition
103	Susceptible
191	Susceptible
398	Susceptible
414	Susceptible
471	Infectious
473	Susceptible
676	Susceptible
707	Susceptible
747	Susceptible
1037	Susceptible
1044	Susceptible
1101	Susceptible
1381	Susceptible
1435	Infectious
1686	Susceptible
1696	Susceptible
1706	Susceptible
1875	Infectious
1876	Susceptible
1892	Susceptible
1941	Susceptible
1977	Infectious
2018	Susceptible
2052	Susceptible
2093	Susceptible
2148	Susceptible
2291	Susceptible
2300	Susceptible
2378	Susceptible
2392	Susceptible
2601	Susceptible
2680	Susceptible
2731	Susceptible
2758	Susceptible
3122	Susceptible
3349	Susceptible
3486	Susceptible
3595	Susceptible
3607	Susceptible
3629	Susceptible
3696	Susceptible
3849	Susceptible
3870	Susceptible
3906	Susceptible
3956	Susceptible
4156	Susceptible
4167	Infectious
4180	Susceptible
4320	Infectious
4357	Susceptible
4471	Susceptible
4516	Susceptible
4594	Susceptible
4801	Susceptible
4834	Susceptible
4855	Susceptible
5117	Susceptible
5255	Susceptible
5265	Susceptible
5541	Susceptible
5543	Susceptible
5600	Susceptible
5819	Susceptible
5968	Susceptible
6065	Susceptible
6145	Susceptible
6646	Susceptible
6666	Susceptible
6792	Susceptible
6844	Susceptible
7051	Susceptible
7102	Susceptible
7326	Susceptible
7424	Susceptible
7684	Susceptible
7819	Susceptible
7829	Susceptible
8051	Susceptible
8056	Susceptible
8246	Susceptible
8288	Susceptible
8291	Susceptible
8335	Susceptible
8352	Susceptible
8408	Susceptible
8566	Susceptible
8591	Susceptible
8625	Susceptible
8734	Susceptible
8979	Susceptible
9072	Susceptible
9206	Susceptible
9254	Susceptible
9408	Susceptible
9733	Susceptible
9742	Susceptible
9841	Susceptible
9861	Susceptible
10009	Infectious
10091	Susceptible
10180	Infectious
10361	Susceptible
10388	Susceptible
10522	Susceptible
10610	Susceptible
10777	Susceptible
10811	Infectious
11001	Susceptible
11108	Infectious
11268	Susceptible
11357	Susceptible
11360	Susceptible
11405	Susceptible
11580	Susceptible
11675	Susceptible
11741	Susceptible
11804	Susceptible
11976	Susceptible
12045	Susceptible
12113	Susceptible
12157	Susceptible
12199	Susceptible
12225	Susceptible
12399	Susceptible
12409	Susceptible
12540	Infectious
12601	Susceptible
12840	Susceptible
12907	Susceptible
12931	Infectious
13024	Susceptible
13073	Susceptible
13115	Susceptible
13180	Susceptible
13368	Susceptible
13450	Susceptible
13499	Susceptible
13514	Susceptible
13652	Susceptible
13794	Susceptible
14136	Susceptible
14337	Susceptible
14390	Susceptible
14475	Susceptible
14766	Susceptible
14817	Susceptible
14875	Susceptible
14948	Susceptible
15052	Susceptible
15060	Infectious
15293	Susceptible
15335	Susceptible
15368	Susceptible
15752	Susceptible
15890	Susceptible
15961	Susceptible
16109	Susceptible
16123	Susceptible
16440	Susceptible
16719	Susceptible
16785	Susceptible
16794	Susceptible
16805	Susceptible
17008	Susceptible
17018	Susceptible
17135	Susceptible
17234	Susceptible
17439	Susceptible
17523	Susceptible
17616	Susceptible
17626	Infectious
17722	Susceptible
17762	Susceptible
17815	Susceptible
17825	Susceptible
17919	Susceptible
17986	Susceptible
18070	Susceptible
18135	Susceptible
18150	Susceptible
18258	Susceptible
18389	Susceptible
18500	Susceptible
18523	Susceptible
18545	Susceptible
18579	Susceptible
18644	Infectious
18718	Susceptible
18943	Susceptible
19144	Susceptible
19380	Susceptible
19484	Susceptible
19621	Susceptible
19740	Susceptible
19766	Susceptible
19899	Susceptible
19954	Susceptible
19992	Susceptible
20005	Susceptible
20190	Susceptible
20330	Susceptible
20459	Susceptible
20598	Susceptible
20780	Susceptible
20860	Susceptible
21159	Susceptible
21289	Susceptible
21342	Infectious
21353	Susceptible
21411	Susceptible
21498	Infectious
21545	Susceptible
21678	Susceptible
21687	Susceptible
21711	Susceptible
21715	Infectious
21757	Susceptible
21977	Susceptible
22008	Susceptible
22315	Susceptible
22523	Susceptible
22601	Susceptible
22606	Susceptible
22716	Infectious
23014	Susceptible
23106	Susceptible
23108	Susceptible
23249	Susceptible
23629	Susceptible
23640	Susceptible
23782	Susceptible
24006	Susceptible
24010	Susceptible
24131	Susceptible
24133	Susceptible
24569	Infectious
24594	Susceptible
24672	Susceptible
24730	Susceptible
24751	Susceptible
24822	Susceptible
25068	Susceptible
25089	Susceptible
25123	Susceptible
25413	Susceptible
25427	Susceptible
25452	Susceptible
25455	Susceptible
25582	Susceptible
25703	Susceptible
25809	Susceptible
25862	Susceptible
26012	Susceptible
26026	Infectious
26124	Susceptible
26184	Susceptible
26353	Susceptible
26535	Susceptible
26631	Infectious
26713	Susceptible
26736	Susceptible
26781	Susceptible
26897	Susceptible
27110	Susceptible
27320	Susceptible
27624	Susceptible
27664	Susceptible
27666	Susceptible
27764	Infectious
27932	Susceptible
28063	Infectious
28157	Susceptible
28313	Susceptible
28349	Susceptible
28398	Infectious
28451	Susceptible
28598	Infectious
28608	Susceptible
28664	Susceptible
29154	Susceptible
29382	Susceptible
29559	Susceptible
29894	Susceptible
29903	Susceptible
