node_name	condition
270	Infectious
295	Infectious
877	Susceptible
882	Susceptible
1163	Susceptible
1389	Susceptible
1490	Infectious
1833	Susceptible
1921	Susceptible
1952	Susceptible
2086	Susceptible
2094	Susceptible
2232	Susceptible
2254	Susceptible
2293	Susceptible
2619	Susceptible
2902	Infectious
3195	Susceptible
3382	Susceptible
3432	Susceptible
3536	Susceptible
3538	Susceptible
3547	Infectious
3781	Susceptible
3806	Susceptible
4108	Susceptible
4135	Susceptible
4202	Infectious
4220	Susceptible
4345	Susceptible
4375	Infectious
4456	Susceptible
4682	Susceptible
4684	Susceptible
4814	Susceptible
4815	Susceptible
4825	Susceptible
5194	Susceptible
5332	Susceptible
5371	Susceptible
5491	Susceptible
5506	Susceptible
5620	Susceptible
5716	Susceptible
5789	Susceptible
5871	Susceptible
6285	Susceptible
6338	Susceptible
6383	Susceptible
6754	Susceptible
6847	Susceptible
6903	Susceptible
7037	Susceptible
7080	Susceptible
7153	Susceptible
7184	Susceptible
7331	Susceptible
7419	Susceptible
7439	Susceptible
7440	Susceptible
7486	Susceptible
7623	Susceptible
7764	Susceptible
8551	Susceptible
8766	Susceptible
8775	Infectious
8777	Susceptible
8802	Susceptible
8844	Infectious
8929	Susceptible
9158	Susceptible
9353	Susceptible
9462	Susceptible
9552	Susceptible
9564	Susceptible
9587	Susceptible
9758	Susceptible
9760	Susceptible
9846	Susceptible
9972	Susceptible
9984	Susceptible
10074	Susceptible
10184	Susceptible
10190	Susceptible
10216	Susceptible
10319	Susceptible
10547	Susceptible
10878	Susceptible
10947	Infectious
10965	Susceptible
11043	Susceptible
11196	Susceptible
11249	Infectious
11275	Susceptible
11618	Susceptible
11711	Susceptible
11785	Susceptible
12047	Susceptible
12086	Susceptible
12141	Susceptible
12201	Susceptible
12248	Susceptible
12317	Susceptible
12528	Susceptible
12678	Susceptible
12808	Susceptible
12836	Susceptible
12921	Susceptible
13088	Susceptible
13124	Susceptible
13221	Susceptible
13244	Susceptible
13463	Susceptible
13541	Susceptible
13603	Susceptible
13897	Susceptible
14063	Infectious
14065	Susceptible
14072	Susceptible
14517	Susceptible
14520	Susceptible
14551	Susceptible
14643	Susceptible
14669	Susceptible
14695	Susceptible
14790	Susceptible
15612	Susceptible
15635	Susceptible
15948	Infectious
16255	Infectious
16347	Susceptible
16483	Susceptible
16567	Infectious
16671	Susceptible
16847	Susceptible
17081	Infectious
17092	Susceptible
17136	Susceptible
17316	Susceptible
17416	Infectious
17607	Susceptible
17764	Susceptible
17899	Susceptible
17914	Susceptible
18282	Susceptible
18390	Susceptible
18438	Susceptible
18606	Susceptible
18628	Susceptible
18630	Susceptible
18653	Susceptible
18723	Susceptible
18813	Susceptible
18911	Susceptible
18921	Susceptible
18965	Susceptible
19150	Susceptible
19504	Infectious
19727	Susceptible
19773	Susceptible
19881	Susceptible
19915	Susceptible
20178	Susceptible
20271	Infectious
20506	Susceptible
20880	Susceptible
20963	Susceptible
21231	Infectious
21267	Susceptible
21371	Susceptible
21427	Susceptible
21444	Susceptible
21550	Infectious
22117	Susceptible
22142	Susceptible
22495	Infectious
22520	Susceptible
22558	Susceptible
22929	Susceptible
23011	Susceptible
23079	Susceptible
23203	Susceptible
23331	Susceptible
23343	Susceptible
23556	Infectious
23582	Susceptible
23731	Susceptible
23850	Susceptible
23896	Susceptible
24157	Susceptible
24390	Susceptible
24509	Susceptible
24612	Susceptible
24832	Susceptible
24920	Infectious
25014	Susceptible
25107	Susceptible
25207	Susceptible
25299	Susceptible
25401	Susceptible
25468	Susceptible
25576	Susceptible
25857	Susceptible
26027	Susceptible
26112	Susceptible
26372	Susceptible
26654	Susceptible
26771	Susceptible
26788	Susceptible
26854	Susceptible
27426	Susceptible
27448	Susceptible
27638	Susceptible
27750	Susceptible
27791	Susceptible
27958	Susceptible
28283	Susceptible
28327	Susceptible
28484	Susceptible
28614	Susceptible
28765	Susceptible
28842	Susceptible
28923	Susceptible
29029	Susceptible
29590	Susceptible
29681	Susceptible
29689	Susceptible
29848	Susceptible
