name	value
34	0
42	0
54	0
94	0
337	0
384	0
544	0
582	0
591	0
638	0
687	0
690	0
709	0
879	0
920	0
933	0
966	0
1386	0
1427	0
1437	0
1577	0
1763	0
1991	1
2198	0
2290	0
2364	1
2652	0
2736	0
2871	0
2900	0
2906	0
2938	1
2980	0
3046	0
3058	0
3106	0
3214	0
3408	0
3522	0
3671	0
3752	1
3931	0
3947	0
4008	0
4075	0
4112	0
4157	0
4265	1
4323	0
4417	0
4609	0
4634	0
4681	0
4816	0
4864	0
4925	0
4955	0
4983	0
5018	0
5027	0
5216	0
5383	0
5392	0
5407	0
5557	0
5614	0
5767	0
5820	0
5879	0
5938	0
5999	0
6006	0
6080	0
6102	0
6165	0
6214	0
6428	0
6663	0
6746	0
7073	0
7152	0
7175	1
7334	1
7656	0
7812	0
7887	0
7990	1
8267	0
8378	0
8453	0
8484	0
8774	0
8972	0
9043	0
9051	0
9124	0
9168	0
9170	0
9212	0
9380	0
9387	0
9423	0
9625	1
9670	0
9696	0
9888	0
9911	0
10149	0
10156	0
10255	0
10260	0
10356	0
10396	0
10554	1
10669	0
10721	0
10860	0
10871	1
10876	1
10999	0
11067	0
11167	0
11226	0
11346	0
11629	0
11678	0
11860	1
11884	0
11940	0
12005	0
12017	0
12152	0
12214	0
12294	0
12308	0
12310	0
12425	0
12464	0
12648	0
12727	0
12914	0
13209	0
13351	0
13379	0
13594	0
14167	0
14349	0
14365	0
14366	0
14451	0
14463	0
14571	0
14902	0
15002	0
15122	0
15347	0
15407	1
15436	1
15455	0
15509	0
15573	0
15677	0
15695	0
15725	0
15784	1
15788	0
16174	0
16230	0
16354	0
16590	0
17057	0
17079	0
17230	0
17236	1
17394	0
17395	0
17576	0
17620	0
17844	0
17961	0
17977	1
18009	0
18229	0
18294	0
18339	1
18361	0
18419	0
18428	1
18442	0
18460	0
18468	0
18476	1
18585	0
18832	0
18838	0
19057	0
19094	0
19095	0
19097	0
19302	1
19352	0
19478	0
19528	0
19531	1
19813	0
19913	0
19929	0
19934	0
19958	1
20057	0
20068	0
20312	0
20544	0
20664	0
20817	0
20819	0
20877	0
20948	0
20958	0
21027	0
21048	0
21051	0
21223	0
21260	1
21672	0
21783	0
21795	0
21893	0
21944	0
21980	0
22015	0
22027	0
22030	0
22092	0
22122	0
22342	0
22372	0
22409	0
22439	0
22473	0
22501	0
22593	0
22636	1
22669	0
22874	0
22904	0
22927	0
22958	0
23051	0
23765	0
23796	0
24020	0
24064	0
24076	0
24089	0
24106	1
24144	1
24175	0
24226	1
24562	0
24644	0
24668	0
24680	0
24742	0
25024	0
25283	0
25417	0
25543	0
25583	0
25625	1
25731	1
25781	0
25818	0
25875	0
25909	0
25934	0
25937	1
26063	0
26205	0
26310	0
26377	0
26545	0
26608	0
26790	0
26908	1
27151	0
27177	1
27220	0
27253	0
27289	0
27295	1
27354	0
27455	0
27541	0
27689	0
27846	0
27937	0
28112	0
28116	1
28178	1
28240	0
28379	0
28587	0
28601	0
28684	0
28776	0
28796	0
28812	1
28823	1
28898	0
28901	0
28940	0
28963	0
28968	0
29150	0
29248	0
29458	0
29477	0
29542	0
29549	0
29585	0
29608	0
29653	1
29844	0
29856	0
29878	0
