name	value
176	0
601	0
827	0
830	0
1212	0
1373	0
1378	0
1406	0
1491	0
1612	0
1651	0
1700	0
1702	0
1749	0
1755	1
2104	0
2111	0
2126	0
2164	1
2190	0
2490	0
2909	0
3062	0
3164	0
3226	0
3430	0
3518	0
3542	0
3763	0
3877	0
4440	0
4526	1
4567	0
4883	0
4905	1
5029	0
5210	1
5467	0
5578	0
5843	0
5956	1
5975	0
6046	1
6139	0
6142	0
6177	1
6420	0
6681	0
6721	0
6843	0
6958	0
6962	0
6980	1
7084	0
7360	0
7646	0
7676	0
7774	0
7781	0
7994	0
8044	0
8111	0
8250	1
8289	0
8557	0
8686	0
8689	0
8789	0
9057	0
9172	0
9267	0
9437	0
9563	0
9585	0
10021	0
10321	0
10436	0
10614	0
10772	0
10800	1
10835	1
10869	0
11103	0
11358	0
11438	0
11473	0
11539	0
11548	0
11557	0
11776	0
11796	0
11851	0
11939	0
12198	0
12279	0
12366	0
13012	0
13049	0
13140	0
13261	0
13265	0
13269	1
13331	0
13487	1
13608	0
13735	0
13865	0
14301	0
14486	0
14533	0
14654	1
14738	0
14967	0
14980	1
15021	0
15248	1
15257	0
15338	0
15608	0
15647	0
15787	1
15871	0
15932	1
16216	0
16217	0
16223	1
16727	0
16767	0
17217	0
17224	0
17380	0
17467	0
17586	0
17608	0
17636	0
17926	0
18042	0
18137	0
18142	1
18443	0
18629	1
18791	0
18825	1
18840	0
18905	0
18923	0
19039	0
19241	0
19307	0
19310	0
19321	0
19602	0
19765	0
19789	0
19885	0
19962	0
19991	0
20033	0
20240	0
20759	0
20984	0
21003	0
21082	0
21112	0
21229	0
21404	0
21439	0
21441	0
21477	0
21670	0
21926	0
21940	0
21942	0
22196	0
22311	0
22496	0
22683	0
22783	0
22964	0
23091	0
23395	0
23431	0
23564	0
23571	0
23594	0
23680	0
23687	0
23820	0
23859	0
23878	0
23978	0
24185	0
24192	0
24278	0
24351	0
24382	0
24393	0
24566	0
24787	0
24886	0
25021	0
25032	0
25063	0
25103	0
25104	0
25302	0
25317	0
25484	0
25902	0
26076	0
26188	0
26285	0
26534	0
26574	0
26738	0
26743	0
26760	0
26962	0
27095	0
27193	0
27240	0
27265	0
27406	0
27466	0
27703	0
27830	0
27836	0
27865	0
27979	0
28159	0
28289	0
28603	1
28747	1
29051	0
29281	0
29474	0
29505	0
29532	0
29644	0
29734	0
29753	0
29780	0
29788	0
29823	0
29984	0
