name	value
155	0
235	0
236	0
258	0
461	0
637	0
904	0
984	0
1058	0
1171	0
1479	0
1615	1
1626	0
1723	0
1764	0
1807	0
1920	1
2010	0
2087	0
2201	0
2292	0
2303	0
2395	0
2473	0
2516	0
2523	0
2567	0
2710	0
2793	0
3111	0
3132	0
3260	0
3517	0
3604	0
3762	0
3772	0
3818	0
3853	0
3900	0
4013	0
4411	0
4590	0
4667	0
4907	0
5036	0
5284	0
5305	0
5580	0
5795	0
5953	0
6344	0
6370	0
6418	0
6745	0
6880	0
6891	0
7915	0
7999	0
8183	0
8237	0
8486	0
8516	0
8755	0
8887	0
8899	0
9296	0
9318	0
9415	0
9529	0
9686	0
9723	0
10324	1
10531	0
10587	0
10621	0
10645	0
10989	0
10991	0
11015	0
11033	0
11252	0
11444	0
11445	0
11603	0
11616	0
11653	0
11751	0
12168	1
12370	0
12549	0
12585	1
12589	0
12602	0
12751	0
12926	0
13061	0
13109	1
13147	0
13490	0
13615	0
13828	0
14048	0
14306	0
14558	0
14587	1
14697	1
14960	0
15174	0
15222	0
15393	0
15488	0
15528	0
15688	0
15756	0
16053	0
16113	1
16277	0
16294	0
16580	0
16602	0
16703	0
16745	0
16843	0
16880	0
17016	0
17067	0
17225	0
17448	0
17509	0
17541	0
17670	1
17692	0
17694	0
17967	0
18077	1
18195	0
18447	0
18459	0
18471	0
18605	0
18783	0
18856	0
18961	0
19044	0
19147	0
19319	0
19435	0
19817	1
19869	0
19924	0
20168	0
20267	0
20514	0
20840	0
20858	0
21099	0
21639	0
21684	0
21729	0
21820	1
21923	0
21971	0
22091	0
22112	1
22134	0
22236	0
22336	0
22571	1
22573	0
23292	0
23316	0
23510	0
23590	0
23893	0
23980	0
24199	0
24276	0
24456	0
24545	0
24614	0
24667	0
24679	0
24720	0
24969	0
25007	0
25180	0
25305	0
25745	0
25961	0
26128	0
26160	0
26452	1
26488	0
26546	0
26559	0
26652	0
26869	0
27010	1
27075	0
27443	0
27614	0
27619	0
27694	0
27742	0
27748	0
27790	0
27819	0
28017	1
28238	0
28248	0
28414	0
28428	0
28521	0
28526	0
28527	0
28966	0
28969	0
29078	0
29108	0
29331	0
29426	0
29437	0
29531	0
29595	0
29658	0
