name	value
289	0
307	0
652	0
787	0
878	0
1054	0
1086	0
1139	0
1201	0
1245	0
1272	0
1276	0
1495	0
1506	0
1534	0
1569	0
1805	1
1880	1
2206	0
2393	0
2588	0
2696	0
3084	0
3107	0
3265	0
3278	0
3336	0
3352	0
3803	0
3827	0
3840	0
3887	0
4053	1
4316	0
4476	0
4499	0
4508	0
4922	0
4961	0
4970	0
5030	1
5201	0
5207	0
5457	0
5489	0
5531	0
5574	0
5586	0
5729	0
5730	0
5754	1
5778	0
5814	1
5969	0
6021	0
6196	0
6293	0
6303	0
6308	0
6364	0
6389	0
6467	1
6541	0
6606	0
6832	1
6931	0
6963	0
6998	0
7022	0
7036	0
7072	0
7446	0
7621	0
7661	0
7723	0
7853	0
7894	0
7975	0
8026	0
8037	0
8054	0
8506	1
8530	0
8537	0
8539	0
8585	0
8608	0
8643	0
9138	0
9285	0
9389	0
9457	0
9601	0
9657	0
9906	0
9968	0
10189	0
10355	0
10389	0
10435	0
10640	0
10791	0
11088	0
11101	0
11125	0
11179	0
11650	0
11807	0
11815	0
11899	0
12062	1
12106	0
12186	0
12205	0
12271	0
12386	0
12476	0
12493	0
12543	0
12588	0
12782	0
13040	0
13112	0
13174	0
13187	0
13422	0
13525	0
13629	0
13670	0
13758	0
13912	0
14173	0
14381	0
14549	0
14691	0
14753	0
14907	0
14982	0
15013	0
15066	0
15152	0
15221	0
15470	0
15601	0
15698	0
15824	0
15832	0
15842	0
15884	1
15984	0
16038	1
16049	0
16055	0
16122	0
16137	0
16238	0
16258	0
16300	0
16317	0
16383	0
16538	0
16570	0
16694	0
16826	0
17108	0
17130	0
17431	0
17524	0
17765	0
17976	0
18022	0
18098	0
18414	0
18449	0
18503	0
18527	0
18584	0
18717	0
18945	0
18994	0
19077	0
19113	0
19117	1
19259	1
19313	0
19535	0
19590	0
19594	0
19680	0
19964	1
20100	0
20254	0
20388	0
20546	1
20852	0
21109	0
21128	0
21164	0
21176	0
21248	0
21405	0
21485	0
21792	0
21945	0
22050	1
22097	0
22114	0
22220	0
22260	0
22265	0
22454	0
22597	0
22844	0
22879	0
22951	1
22966	0
23057	0
23101	0
23267	0
23370	0
23400	0
23474	0
23565	0
23749	0
23776	0
23838	0
23858	1
23873	0
24069	0
24176	0
24299	0
24338	1
24343	0
24430	0
24608	0
24820	0
24864	0
24865	0
25008	0
25252	0
25419	0
25435	0
25545	0
25593	0
25681	0
25683	0
25785	0
25813	0
25847	0
25895	0
25899	0
26053	0
26060	0
26149	0
26174	0
26404	1
26480	1
26497	0
26555	0
26580	0
26585	0
26606	0
26667	0
26674	1
26780	0
27215	1
27311	0
27314	0
27476	0
27542	0
27558	0
27683	0
28122	0
28319	0
28348	0
28510	0
28595	0
28647	1
28658	0
28721	0
29014	0
29065	0
29127	0
29397	1
29558	0
29572	0
29745	0
29882	1
