name	value
59	0
217	0
476	0
554	1
725	0
954	0
963	0
1020	0
1067	0
1422	0
1814	0
1840	0
2008	0
2267	0
2278	0
2382	0
2394	0
2654	0
2788	0
2993	0
3194	0
3457	0
3651	0
3706	0
3868	0
3873	0
3950	0
3975	0
4136	0
4199	0
4356	0
4694	0
4918	1
5308	0
5325	0
5421	1
5423	0
5508	0
5668	0
5696	0
5772	0
5985	0
6033	0
6035	1
6390	1
6634	0
6704	1
7105	0
7164	0
7472	0
7587	0
7736	0
7875	0
7939	0
7959	0
8076	0
8195	1
8372	0
8392	0
8411	0
8620	1
8813	0
9180	0
9460	0
9718	0
9725	0
10028	0
10060	0
10228	0
10717	0
10843	0
11142	0
11213	1
11284	0
11503	0
11566	0
11709	1
11974	0
12231	0
12484	0
12581	0
12889	0
13000	0
13057	0
13133	0
13204	0
13210	0
13339	0
13710	0
13757	0
13767	0
14257	0
14430	1
14524	0
14543	0
15078	0
15198	0
15444	0
15618	1
15645	1
15767	0
15900	0
15915	0
15947	0
15999	0
16120	0
16127	0
16376	0
16711	0
17296	0
17698	0
17742	0
17915	0
18090	0
18250	0
18403	0
18785	0
19013	0
19218	0
19507	0
19686	1
19713	0
19921	0
19960	0
20125	0
20223	1
20498	0
20637	0
20979	0
21044	1
21134	0
21183	0
21195	0
21425	0
21567	0
21583	0
22124	0
22209	0
22415	0
22515	0
22694	0
22713	0
22732	0
22782	0
23394	0
23447	1
23536	0
23840	1
23907	0
24001	0
24111	1
24154	0
24411	0
24454	0
24525	0
24745	0
24817	0
24858	0
25223	1
25304	0
25553	0
25833	0
25971	0
26397	1
26522	0
26532	0
26712	0
27062	0
27447	0
27457	0
27472	0
28262	0
28391	0
28447	0
28497	0
28592	0
28646	0
28712	1
28833	0
29230	0
29310	0
29366	0
29375	0
29400	0
29749	0
29818	1
29919	0
