node_name	community
83	57
100	57
627	57
723	57
737	57
761	57
785	57
1076	57
1105	57
1253	57
1365	57
1484	57
1537	57
1589	57
1594	57
1826	57
1902	57
2078	57
2432	57
2462	57
2466	57
2475	57
2555	57
2618	57
2870	57
2933	57
3299	57
3514	57
3633	57
3946	57
4083	57
4111	57
4137	57
4217	57
4224	57
4373	57
4481	57
4724	57
4731	57
4802	57
4921	57
4999	57
5218	57
5428	57
5452	57
5505	57
5515	57
5525	57
5533	57
5611	57
5645	57
5664	57
5671	57
5743	57
6143	57
6268	57
6365	57
6419	57
6430	57
6750	57
6838	57
7087	57
7128	57
7132	57
7158	57
7170	57
7185	57
7831	57
7938	57
7983	57
8067	57
8239	57
8441	57
8456	57
8493	57
8502	57
8657	57
8868	57
8907	57
9117	57
9160	57
9255	57
9301	57
9375	57
9474	57
9522	57
9524	57
9689	57
9693	57
10185	57
10202	57
10546	57
10629	57
10635	57
10636	57
10638	57
10815	57
10852	57
11027	57
11102	57
11146	57
11195	57
11217	57
11297	57
11332	57
11335	57
11538	57
11589	57
11684	57
11918	57
11928	57
12034	57
12143	57
12316	57
12509	57
12701	57
12802	57
12858	57
12992	57
13198	57
13590	57
13862	57
13864	57
14022	57
14146	57
14208	57
14213	57
14263	57
14271	57
14277	57
14372	57
14482	57
14505	57
14909	57
15119	57
15204	57
15212	57
15322	57
15374	57
15483	57
15729	57
15792	57
15808	57
15899	57
15924	57
15969	57
15983	57
16075	57
16206	57
16222	57
16407	57
16494	57
16508	57
16718	57
16897	57
17256	57
17272	57
17477	57
17603	57
17628	57
17704	57
17711	57
17787	57
17795	57
17939	57
17957	57
18067	57
18174	57
18341	57
18373	57
18405	57
18452	57
18831	57
18929	57
18931	57
19081	57
19290	57
19485	57
19492	57
19702	57
19746	57
19840	57
19857	57
19897	57
19963	57
19966	57
19970	57
20077	57
20241	57
20264	57
20281	57
20382	57
20472	57
20495	57
20537	57
20630	57
21075	57
21076	57
21079	57
21100	57
21200	57
21211	57
21251	57
21377	57
21422	57
21483	57
21500	57
21507	57
21661	57
21766	57
21772	57
21781	57
21785	57
22115	57
22468	57
22503	57
22771	57
22911	57
23147	57
23176	57
23212	57
23342	57
23612	57
23647	57
23736	57
23739	57
23886	57
24239	57
24311	57
24354	57
24395	57
24519	57
24554	57
24583	57
24717	57
24831	57
25156	57
25258	57
25581	57
25678	57
25706	57
25723	57
25769	57
25825	57
25925	57
26070	57
26139	57
26175	57
26226	57
26245	57
26316	57
26475	57
26596	57
26651	57
26704	57
26951	57
27192	57
27433	57
27557	57
27698	57
27712	57
27760	57
27793	57
28271	57
28280	57
28296	57
28314	57
28357	57
28366	57
28427	57
28513	57
28696	57
29204	57
29393	57
29571	57
29892	57
29988	57
