node_name	community
135	76
203	76
276	76
407	76
434	76
547	76
557	76
600	76
671	76
916	76
938	76
956	76
1008	76
1158	76
1226	76
1454	76
1521	76
1646	76
2054	76
2149	76
2192	76
2276	76
2283	76
2350	76
2794	76
2924	76
2977	76
2991	76
3012	76
3115	76
3133	76
3177	76
3206	76
3240	76
3259	76
3295	76
3342	76
3455	76
3493	76
3653	76
3743	76
3778	76
3780	76
3822	76
3891	76
3920	76
4038	76
4127	76
4336	76
4340	76
4376	76
4434	76
4492	76
4585	76
4679	76
4894	76
4934	76
5015	76
5180	76
5257	76
5456	76
5465	76
5613	76
5625	76
5692	76
5801	76
6056	76
6058	76
6127	76
6288	76
6324	76
6493	76
6520	76
6581	76
6747	76
6877	76
6992	76
6993	76
7289	76
7423	76
7585	76
7589	76
7633	76
7688	76
8049	76
8073	76
8149	76
8592	76
8622	76
8685	76
8920	76
8942	76
8986	76
9109	76
9143	76
9215	76
9273	76
9545	76
9582	76
9666	76
9715	76
9913	76
10234	76
10312	76
10332	76
10357	76
10479	76
10591	76
10938	76
11140	76
11341	76
11369	76
11500	76
11563	76
11651	76
11698	76
11907	76
12043	76
12202	76
12306	76
12522	76
12562	76
12578	76
12649	76
12965	76
13142	76
13196	76
13200	76
13373	76
13470	76
13535	76
13606	76
13666	76
13718	76
13768	76
13895	76
14123	76
14200	76
14227	76
14456	76
14844	76
14946	76
15044	76
15457	76
15557	76
15560	76
15596	76
15709	76
15837	76
16239	76
16242	76
16394	76
16432	76
16461	76
16463	76
16537	76
16577	76
16728	76
17190	76
17295	76
17397	76
17427	76
17432	76
17490	76
17572	76
17673	76
17699	76
17790	76
17797	76
18082	76
18167	76
18511	76
18743	76
18913	76
19069	76
19214	76
19390	76
19400	76
19439	76
19443	76
19620	76
19642	76
19673	76
19904	76
19993	76
20013	76
20025	76
20332	76
20536	76
20842	76
21092	76
21115	76
21189	76
21205	76
21293	76
21437	76
21452	76
21622	76
21782	76
21853	76
21999	76
22111	76
22135	76
22157	76
22188	76
22190	76
22724	76
22822	76
23047	76
23120	76
23141	76
23162	76
23168	76
23312	76
23819	76
24060	76
24088	76
24093	76
24198	76
24200	76
24295	76
24576	76
24917	76
25173	76
25275	76
25472	76
25609	76
25650	76
25924	76
26429	76
26478	76
26517	76
26714	76
26977	76
27178	76
27293	76
27312	76
27371	76
27404	76
27506	76
27527	76
27553	76
27736	76
28066	76
28162	76
28274	76
28409	76
28488	76
28759	76
28839	76
29038	76
29117	76
29368	76
29696	76
29786	76
29850	76
29998	76
