node_name	community
262	103
494	103
1074	103
1493	103
1704	103
1729	103
1889	103
1960	103
2374	103
2673	103
3027	103
3228	103
3473	103
3613	103
3725	103
3767	103
3945	103
4011	103
4028	103
4276	103
4716	103
5086	103
5300	103
5472	103
5589	103
5979	103
6189	103
6411	103
6560	103
6701	103
6717	103
7159	103
7315	103
7327	103
7357	103
7409	103
7839	103
7869	103
7880	103
7979	103
8274	103
8948	103
9209	103
9228	103
9453	103
9801	103
10059	103
10077	103
10128	103
10299	103
11172	103
11244	103
11289	103
11824	103
12215	103
12694	103
12959	103
12964	103
12998	103
13300	103
13901	103
14750	103
14762	103
14854	103
15187	103
16088	103
16158	103
16559	103
16598	103
16633	103
17073	103
17271	103
17521	103
17856	103
17882	103
18003	103
18087	103
18217	103
18277	103
18497	103
18597	103
18624	103
18652	103
18892	103
18902	103
19164	103
19800	103
20008	103
20851	103
21298	103
21356	103
21638	103
22003	103
22077	103
22262	103
22278	103
22324	103
22642	103
22923	103
23129	103
23277	103
23780	103
23825	103
23835	103
24169	103
24524	103
25279	103
25865	103
26164	103
26171	103
26183	103
26298	103
26932	103
27074	103
27261	103
27513	103
27672	103
27730	103
27965	103
27997	103
28003	103
28118	103
28315	103
29253	103
29346	103
29407	103
29715	103
